"X","Gender","Race","Current.Age","TDCJ.Offense","Sentenced.Years","Sentence.Date","Year.of.Sentence","Sentenced.Age"
382,"M","B",60,"AGG ROBBERY",50,"5/29/2002",2002,39
383,"M","H",60,"MURDER",25,"4/26/2016",2016,53
384,"M","H",60,"MURDER",30,"8/15/2011",2011,48
385,"M","H",59,"MURDER",45,"9/21/1996",1996,32
386,"M","B",60,"MURDER",10,"8/19/2019",2019,56
387,"F","B",63,"MURDER",40,"11/7/2011",2011,51
388,"M","W",60,"AGG ROBBERY",60,"5/2/1997",1997,34
389,"M","B",60,"MURDER",99,"6/13/2012",2012,49
390,"M","B",59,"AGG ROBBERY",35,"8/14/1991",1991,27
391,"M","W",59,"MURDER",60,"3/28/1989",1989,25
392,"M","H",60,"MURDER",99,"2/2/2007",2007,44
393,"M","B",62,"AGG ROBBERY",90,"3/29/1995",1995,34
394,"M","W",59,"AGG ROBBERY",40,"1/14/2013",2013,49
395,"M","B",69,"MURDER",48,"4/6/2011",2011,57
396,"M","B",60,"AGG ROBBERY",30,"8/10/2012",2012,49
397,"M","W",62,"AGG ROBBERY",30,"4/14/2016",2016,55
398,"M","B",67,"MURDER",62,"2/15/2011",2011,55
399,"M","W",60,"AGG ROBBERY",35,"8/24/2006",2006,43
400,"M","B",60,"MURDER",30,"1/12/2001",2001,38
401,"M","W",61,"MURDER",28,"9/21/2015",2015,53
402,"M","W",64,"MURDER",40,"5/22/2003",2003,44
403,"F","B",66,"MURDER",50,"10/13/1980",1980,23
404,"M","H",60,"MURDER",60,"6/30/1982",1982,19
405,"M","B",59,"AGG ROBBERY",45,"8/10/2005",2005,41
406,"M","B",60,"AGG ROBBERY",50,"1/31/1994",1994,31
407,"M","B",68,"AGG ROBBERY",30,"2/20/1989",1989,34
408,"M","B",64,"MURDER",45,"10/25/2018",2018,59
409,"M","B",59,"AGG ROBBERY",35,"12/6/2006",2006,42
410,"M","W",60,"MURDER",50,"4/24/1992",1992,29
411,"M","W",59,"MURDER",45,"1/26/2018",2018,54
412,"M","H",64,"MURDER",30,"9/11/2018",2018,59
413,"M","W",63,"AGG ROBBERY",10,"2/12/2020",2020,60
414,"M","B",60,"AGG ROBBERY",30,"10/22/2007",2007,44
